"","scr_inner_iterations[[""Control""]][[""gamma""]]"
"ASV_895",0
"ASV_896",0
"ASV_897",0
"ASV_898",0
"ASV_899",0
"ASV_900",0
"ASV_901",0
"ASV_902",8.67146680827478e-05
"ASV_903",0
"ASV_904",0
"ASV_905",0
"ASV_906",0.00144786610662447
"ASV_907",0
"ASV_908",0.000707468302822071
"ASV_909",0
"ASV_910",0
"ASV_911",0
"ASV_912",0
"ASV_913",0
"ASV_914",0
"ASV_915",0
"ASV_916",0
"ASV_917",0
"ASV_918",0
"ASV_919",0
"ASV_920",0
"ASV_921",0.000129130676602133
"ASV_922",0.000523331670007274
"ASV_923",0
"ASV_924",0
"ASV_925",0
"ASV_926",0
"ASV_927",0
"ASV_928",0
"ASV_929",0
"ASV_930",0
"ASV_931",0
"ASV_932",0
"ASV_933",0
"ASV_934",0
"ASV_935",0
"ASV_936",0
"ASV_937",0.00107995657789051
"ASV_938",0
"ASV_939",0
"ASV_940",6.68991373757947e-05
"ASV_941",0
"ASV_942",0
"ASV_943",0.0103817112093884
"ASV_944",0
"ASV_945",0
"ASV_946",0
"ASV_947",0
"ASV_948",0
"ASV_949",0
"ASV_950",0
"ASV_951",0
"ASV_952",0
"ASV_953",0
"ASV_954",0
"ASV_955",0
"ASV_956",0
"ASV_957",0
"ASV_958",0
"ASV_959",0
"ASV_960",0
"ASV_961",0
"ASV_962",0
"ASV_963",0
"ASV_964",0
"ASV_965",0
"ASV_966",0
"ASV_967",0
"ASV_968",0
"ASV_969",0
"ASV_970",0
"ASV_971",0
"ASV_972",0
"ASV_973",0
"ASV_974",0
"ASV_975",0
"ASV_976",0
"ASV_977",0
"ASV_978",0
"ASV_979",0
"ASV_980",0
"ASV_981",0
"ASV_982",0
"ASV_983",0
"ASV_984",0
"ASV_985",0
"ASV_986",0.00069524847407879
"ASV_987",0
"ASV_988",0
"ASV_989",0
"ASV_990",0.000107523018241529
"ASV_991",0.00043425430563054
"ASV_992",0
"ASV_993",0
"ASV_994",0
"ASV_995",0
"ASV_996",0.00926862052302096
"ASV_997",0
"ASV_998",0
"ASV_999",0
"ASV_1000",0
"ASV_1001",0
"ASV_1002",0
"ASV_1003",0
"ASV_1004",0
"ASV_1005",0.0090759702119189
"ASV_1006",0
"ASV_1007",0
"ASV_1008",0
"ASV_1009",0
"ASV_1010",0
"ASV_1011",0
"ASV_1012",0.00279668151521147
"ASV_1013",0
"ASV_1014",0.000129171984550311
"ASV_1015",0.000151671287007949
"ASV_1016",0
"ASV_1017",0
"ASV_1018",0
"ASV_1019",0
"ASV_1020",0
"ASV_1021",0
"ASV_1022",0
"ASV_1023",0
"ASV_1024",0
"ASV_1025",0
"ASV_1026",0
"ASV_1027",0
"ASV_1028",0
"ASV_1029",0
"ASV_1030",0
"ASV_1031",0
"ASV_1032",0
"ASV_1033",0
"ASV_1034",0
"ASV_1035",0
"ASV_1036",0
"ASV_1037",0
"ASV_1038",0.000286275342538899
"ASV_1039",0
"ASV_1040",0
"ASV_1041",0
"ASV_1042",0
"ASV_1043",0
"ASV_1044",0
"ASV_1045",0
"ASV_1046",0
"ASV_1047",0.00011097424964095
"ASV_1048",0
"ASV_1049",0
"ASV_1050",0
"ASV_1051",0
"ASV_1052",0
"ASV_1053",0
"ASV_1054",0
"ASV_1055",0
"ASV_1056",0
"ASV_1057",0.000277585329881123
"ASV_1058",0
"ASV_1059",0
"ASV_1060",0
"ASV_1061",0.00101470442125332
"ASV_1062",0
"ASV_1063",0.000375484888802978
"ASV_1064",0
"ASV_1065",0
"ASV_1066",0
"ASV_1067",0
"ASV_1068",0
"ASV_1069",0.000353677007859999
"ASV_1070",0
"ASV_1071",0.000551243624283064
"ASV_1072",0
"ASV_1073",0
"ASV_1074",4.28458655461414e-05
"ASV_1075",0
"ASV_1076",0
"ASV_1077",0
"ASV_1078",0
"ASV_1079",0
"ASV_1080",0.00178612076233789
"ASV_1081",0
"ASV_1082",0
"ASV_1083",0
"ASV_1084",0.000836712949322276
"ASV_1085",0
"ASV_1086",0
"ASV_1087",0
"ASV_1088",0
"ASV_1089",0
"ASV_1090",0
"ASV_1091",0
"ASV_1092",0
"ASV_1093",0
"ASV_1094",0
"ASV_1095",0
"ASV_1096",0
"ASV_1097",0
"ASV_1098",0
"ASV_1099",0
"ASV_1100",0
"ASV_1101",0
"ASV_1102",0
"ASV_1103",0
"ASV_1104",0
"ASV_1105",0
"ASV_1106",0
"ASV_1107",0
"ASV_1108",0
"ASV_1109",0
"ASV_1110",0
"ASV_1111",0
"ASV_1112",0
"ASV_1113",0
"ASV_1114",0
"ASV_1115",0
"ASV_1116",0
"ASV_1117",0
"ASV_1118",0
"ASV_1119",0
"ASV_1120",0.000645557951260731
"ASV_1121",0
"ASV_1122",0
"ASV_1123",0
"ASV_1124",0
"ASV_1125",0
"ASV_1126",8.69014295228606e-05
"ASV_1127",0
"ASV_1128",0
"ASV_1129",0
"ASV_1130",0
"ASV_1131",0
"ASV_1132",0
"ASV_1133",0
"ASV_1134",8.66162809633872e-05
"ASV_1135",0
"ASV_1136",0
"ASV_1137",0
"ASV_1138",0
"ASV_1139",0
"ASV_1140",0
"ASV_1141",0
"ASV_1142",0
"ASV_1143",0
"ASV_1144",0
"ASV_1145",0
"ASV_1146",0
"ASV_1147",0
"ASV_1148",0.000462844996818904
"ASV_1149",0.00663573293795958
"ASV_1150",0
"ASV_1151",0
"ASV_1152",0
"ASV_1153",0
"ASV_1154",0
"ASV_1155",0
"ASV_1156",0
"ASV_1157",0
"ASV_1158",0
"ASV_1159",0
"ASV_1160",0
"ASV_1161",0
"ASV_1162",0
"ASV_1163",0
"ASV_1164",0
"ASV_1165",0
"ASV_1166",0
"ASV_1167",0
"ASV_1168",0.00635746026636772
"ASV_1169",0
"ASV_1170",0
"ASV_1171",0
"ASV_1172",0
"ASV_1173",0
"ASV_1174",0
"ASV_1175",8.73304351443237e-05
"ASV_1176",0
"ASV_1177",0
"ASV_1178",0
"ASV_1179",0
"ASV_1180",0
"ASV_1181",0
"ASV_1182",0
"ASV_1183",0.000182654182298982
"ASV_1184",0
"ASV_1185",0
"ASV_1186",0
"ASV_1187",0
"ASV_1188",0
"ASV_1189",0
"ASV_1190",0
"ASV_1191",0
"ASV_1192",0
"ASV_1193",0.000108034673855833
"ASV_1194",0
"ASV_1195",0
"ASV_1196",0
"ASV_1197",0
"ASV_1198",0
"ASV_1199",0
"ASV_1200",0
"ASV_1201",0
"ASV_1202",0
"ASV_1203",0
"ASV_1204",0
"ASV_1205",0
"ASV_1206",0
"ASV_1207",0
"ASV_1208",0
"ASV_1209",0
"ASV_1210",0
"ASV_1211",0
"ASV_1212",0
"ASV_1213",0
"ASV_1214",0
"ASV_1215",8.66712500993934e-05
"ASV_1216",0
"ASV_1217",0
"ASV_1218",0
"ASV_1219",0
"ASV_1220",0
"ASV_1221",0
"ASV_1222",0
"ASV_1223",0
"ASV_1224",0
"ASV_1225",0
"ASV_1226",0
"ASV_1227",0
"ASV_1228",0
"ASV_1229",0.000174203176686195
"ASV_1230",0
